seq,anchorId,range,rssi,sec,nsec
130,0,5965,-88.73834713263854,147,760000000
130,1,1966,-88.81998363908643,147,763000000
130,3,5571,-89.55070148031832,147,766000000
131,0,5960,-88.22119109741817,147,860000000
131,1,1948,-88.43476044971315,147,872000000
131,3,5582,-88.6349459930621,147,874000000
132,0,5970,-88.90593765740383,147,960000000
132,1,2004,-88.16743296796184,147,964000000
132,3,5603,-89.0088549303941,147,966000000
133,0,6012,-88.512863678046,148,60000000
133,1,1993,-88.3373600754021,148,67000000
133,3,5572,-88.41850428422885,148,70000000
134,0,5977,-88.76026148131047,148,159000000
134,1,1970,-88.12226407113518,148,168000000
134,3,5617,-88.40731964217257,148,171000000
135,0,5996,-88.06685197583641,148,260000000
135,1,1997,-87.8882317621748,148,263000000
135,3,5536,-88.02697606296634,148,272000000
136,0,6016,-88.84315150590953,148,360000000
136,1,2026,-87.95277766582565,148,363000000
136,3,5516,-88.64390137140717,148,365000000
137,0,6014,-88.23525379965571,148,460000000
137,1,1985,-88.35922487228825,148,470000000
137,3,5510,-88.83612569172362,148,473000000
138,0,6013,-88.1652868726095,148,560000000
138,1,2037,-87.5040235188504,148,563000000
138,3,5571,-88.91745611934871,148,565000000
139,0,5986,-89.15621798119827,148,660000000
139,1,1997,-89.21595812876203,148,665000000
139,3,5577,-88.03652729094081,148,668000000
140,0,6026,-87.87798625449858,148,759000000
140,1,2006,-88.09447828103131,148,766000000
140,3,5562,-88.9088946487744,148,774000000
141,0,6037,-88.28291011805177,148,860000000
141,1,2030,-88.54638933889991,148,862000000
141,3,5962,-88.58495994730201,148,869000000
142,0,6050,-88.42020233396092,148,960000000
142,1,2001,-88.13601395226097,148,963000000
142,3,5967,-88.22135895796978,148,966000000
143,0,6024,-88.45223846738308,149,60000000
143,1,2016,-88.49082606102881,149,67000000
143,3,5999,-87.92406314118158,149,74000000
144,0,6053,-88.75248484421807,149,159000000
144,1,1975,-87.57705361907806,149,162000000
144,3,5991,-89.08782485132535,149,163000000
145,0,6029,-88.78097488634296,149,260000000
145,1,2035,-88.36923422908008,149,263000000
145,3,6030,-88.50401639775517,149,275000000
146,0,6049,-88.66602190060769,149,360000000
146,1,2049,-88.28745334540585,149,366000000
146,3,6017,-89.5461916517109,149,369000000
147,0,5940,-87.934466266941,149,460000000
147,1,2091,-88.9936809145915,149,463000000
147,3,5967,-88.3459168204698,149,473000000
148,0,5982,-88.21298217756555,149,560000000
148,1,2055,-87.81242444251748,149,563000000
148,3,5963,-88.03733575893237,149,565000000
149,0,5970,-88.41527464624885,149,660000000
149,1,2027,-87.68409114928414,149,670000000
149,3,6041,-89.00351316779015,149,673000000
150,0,5986,-88.6799401709637,149,760000000
150,1,2076,-88.53326928470098,149,763000000
150,3,6020,-88.15480980519149,149,765000000
151,0,5973,-89.3248142847802,149,859000000
151,1,2035,-88.12896914764536,149,863000000
151,3,5995,-88.96073115896262,149,868000000
152,0,5945,-88.81200953087853,149,960000000
152,1,2093,-88.09677309091656,149,965000000
152,3,6090,-87.99450164849428,149,968000000
153,0,6017,-89.28283969934593,150,60000000
153,1,2046,-87.80585631898336,150,64000000
153,3,6067,-88.72618811937586,150,65000000
154,0,6037,-89.13572217029491,150,160000000
154,1,2096,-87.7878583614088,150,166000000
154,3,5938,-88.76479207588325,150,180000000
155,0,6058,-88.23420057693842,150,260000000
155,1,2084,-88.26456960693048,150,271000000
155,3,5931,-88.3754000080184,150,273000000
156,0,6038,-88.40968184665421,150,360000000
156,1,2109,-88.43697715952496,150,370000000
156,3,5952,-88.31005594884137,150,380000000
157,0,6013,-88.96935114706508,150,460000000
157,1,2137,-87.70097831987606,150,467000000
157,3,5937,-88.73992594484987,150,471000000
158,0,6018,-87.98499266961156,150,560000000
158,1,2100,-87.79107765746764,150,561000000
158,3,6011,-88.54520298975399,150,572000000
159,0,6018,-89.0862690031405,150,660000000
159,1,2100,-87.30633055611005,150,663000000
159,3,6039,-89.36707443106813,150,666000000
