seq,sec,nsec,X,Y,Z
1160,148,359000000,5.283312463113081,5.672150041603583,1.743137277780504
1161,148,459000000,5.299022288086795,5.676359469988864,1.7426341613877123
1162,148,559000000,5.314732113061555,5.680568898374425,1.742131044975988
1163,148,659000000,5.3304419380373576,5.684778326760265,1.74162792854533
1164,148,759000000,5.346151763014202,5.688987755146384,1.741124812095739
1165,148,859000000,5.361861587992089,5.693197183532782,1.7406216956272145
1166,148,959000000,5.377571412971021,5.697406611919462,1.7401185791397564
1167,149,59000000,5.393281237950998,5.70161604030642,1.7396154626333655
1168,149,159000000,5.408991062932015,5.705825468693657,1.739112346108041
1169,149,259000000,5.4247008879140735,5.710034897081174,1.7386092295637834
1170,149,360000000,5.440410712897179,5.714244325468971,1.7381061130005924
1171,149,459000000,5.456120537881325,5.718453753857046,1.7376029964184685
1172,149,559000000,5.471830362866518,5.722663182245403,1.73709987981741
1173,149,659000000,5.4875401878527486,5.726872610634037,1.7365967631974184
1174,149,759000000,5.503250012840026,5.731082039022952,1.7360936465584935
1175,149,859000000,5.518959837828344,5.735291467412146,1.7355905299006351
1176,149,959000000,5.5346696628177074,5.739500895801619,1.7350874132238432
1177,150,59000000,5.5503794878081125,5.743710324191372,1.734584296528118
1178,150,159000000,5.566089312799559,5.747919752581404,1.7340811798134586
1179,150,259000000,5.581799137792052,5.752129180971716,1.733578063079866
1180,150,356000000,5.597508962785583,5.756338609362307,1.7330749463273405
1181,150,459000000,5.613218787780158,5.7605480377531775,1.73257182955588
1182,150,559000000,5.628928612775775,5.764757466144326,1.732068712765487
1183,150,659000000,5.644638437772438,5.768966894535756,1.731565595956159
1184,150,759000000,5.660348262770142,5.773176322927465,1.7310624791278988
1185,150,859000000,5.676058087768891,5.777385751319453,1.7305593622807045
1186,150,959000000,5.6917679127686815,5.78159517971172,1.7300562454145758
1187,151,59000000,5.707477737769511,5.785804608104267,1.729553128529514
1188,151,159000000,5.72318756277139,5.790014036497095,1.7290500116255183
1189,151,259000000,5.738897387774309,5.794223464890201,1.7285468947025886
1190,151,359000000,5.754607212778272,5.798432893283586,1.7280437777607256
1191,151,459000000,5.770317037783277,5.802642321677251,1.7275406607999282
1192,151,559000000,5.786026862789327,5.806851750071195,1.7270375438201977
1193,151,655000000,5.801736687796416,5.811061178465419,1.726534426821532
1194,151,759000000,5.81744651280455,5.815270606859922,1.7260313098039337
1195,151,857000000,5.833156337813728,5.819480035254705,1.725528192767401
1196,151,959000000,5.848866162823948,5.823689463649767,1.7250250757119343
1197,152,59000000,5.864575987835211,5.827898892045109,1.7245219586375338
1198,152,159000000,5.880285812847517,5.832108320440731,1.7240188415441997
1199,152,259000000,5.895995637860865,5.836317748836631,1.723515724431931
1200,152,359000000,5.911705462875257,5.8405271772328105,1.723012607300728
1201,152,459000000,5.929473555684492,5.813484367850349,1.7220898332437111
